,donorID,Predictions,predictions
0,134242,0,0
1,126503,0,0
2,104392,0,0
3,105905,0,0
4,120506,0,0
5,128540,0,0
6,126159,0,0
7,141462,0,0
8,140682,0,0
9,133551,0,0
10,102019,0,0
11,105175,0,0
12,111013,1,1
13,144019,0,0
14,131199,0,0
15,142468,0,0
16,121937,1,1
17,107681,0,0
18,113805,0,0
19,112360,0,0
20,114420,0,0
21,135378,0,0
22,138381,0,0
23,133011,0,0
24,136120,0,0
25,105054,0,0
26,110537,0,0
27,143137,0,0
28,133273,0,0
29,124016,0,0
30,109613,0,0
31,125090,0,0
32,134162,0,0
33,102042,0,0
34,136934,0,0
35,126262,0,0
36,113933,0,0
37,119380,0,0
38,100249,0,0
39,117440,0,0
40,131283,0,0
41,139543,0,0
42,111228,1,1
43,135548,0,0
44,104585,0,0
45,102087,1,1
46,126860,0,0
47,120710,0,0
48,142371,0,0
49,125901,0,0
50,132052,0,0
51,110640,0,0
52,121011,0,0
53,110607,0,0
54,112443,0,0
55,110218,0,0
56,110015,0,0
57,127700,0,0
58,114247,0,0
59,122641,0,0
60,123227,0,0
61,103057,0,0
62,138110,0,0
63,103992,0,0
64,139274,0,0
65,133143,0,0
66,140608,0,0
67,137320,0,0
68,120195,0,0
69,144652,0,0
70,135074,0,0
71,120797,0,0
72,137241,0,0
73,123448,0,0
74,127181,0,0
75,143400,0,0
76,133585,0,0
77,129281,0,0
78,106420,0,0
79,120310,0,0
80,100875,0,0
81,129379,0,0
82,129171,0,0
83,135592,0,0
84,134625,0,0
85,101112,0,0
86,115541,0,0
87,117581,0,0
88,105378,0,0
89,102661,0,0
90,107960,0,0
91,122968,0,0
92,120026,0,0
93,122244,0,0
94,128645,0,0
95,133355,0,0
96,115905,0,0
97,117502,0,0
98,116338,0,0
99,127497,0,0
100,125673,0,0
101,114453,0,0
102,123338,0,0
103,143900,0,0
104,132439,0,0
105,109393,0,0
106,128763,0,0
107,133177,0,0
108,124227,0,0
109,110430,0,0
110,126070,0,0
111,103038,0,0
112,140029,0,0
113,125784,0,0
114,123829,0,0
115,100711,0,0
116,104178,0,0
117,127045,0,0
118,109694,1,1
119,122069,0,0
120,106310,0,0
121,122041,0,0
122,115706,0,0
123,113290,0,0
124,100556,0,0
125,133029,0,0
126,139558,0,0
127,130931,0,0
128,142127,0,0
129,116669,0,0
130,119194,0,0
131,130875,0,0
132,135370,0,0
133,116520,0,0
134,139370,0,0
135,127695,0,0
136,117497,0,0
137,109328,0,0
138,122865,0,0
139,113674,0,0
140,139537,0,0
141,138496,0,0
142,136521,0,0
143,130420,0,0
144,106548,0,0
145,115251,0,0
146,135629,0,0
147,115788,0,0
148,135068,0,0
149,124642,0,0
150,134467,0,0
151,122703,0,0
152,131575,0,0
153,129204,0,0
154,102874,0,0
155,109978,0,0
156,111174,0,0
157,133071,0,0
158,100789,0,0
159,108569,0,0
160,101757,0,0
161,143951,0,0
162,107102,0,0
163,111014,0,0
164,137752,0,0
165,144358,1,1
166,124514,0,0
167,103311,0,0
168,144060,0,0
169,128133,0,0
170,101994,0,0
171,136426,0,0
172,128219,0,0
173,104928,0,0
174,138999,0,0
175,118484,0,0
176,118000,0,0
177,113192,0,0
178,143537,0,0
179,113080,0,0
180,112140,0,0
181,135345,0,0
182,137972,0,0
183,114553,0,0
184,136775,0,0
185,144146,0,0
186,142829,0,0
187,130339,0,0
188,142848,0,0
189,131863,0,0
190,104526,0,0
191,105255,0,0
192,115762,0,0
193,112460,0,0
194,119099,0,0
195,119667,0,0
196,100511,0,0
197,127449,0,0
198,139447,0,0
199,139738,0,0
200,101287,0,0
201,116260,0,0
202,137623,0,0
203,133160,0,0
204,135925,0,0
205,116988,0,0
206,117021,0,0
207,122096,0,0
208,116670,0,0
209,101433,0,0
210,118574,0,0
211,120340,0,0
212,137092,0,0
213,134262,0,0
214,121195,0,0
215,101716,0,0
216,108156,0,0
217,137366,0,0
218,133589,0,0
219,105570,0,0
220,132894,0,0
221,125068,0,0
222,105218,0,0
223,105087,0,0
224,107054,0,0
225,100637,0,0
226,137591,0,0
227,143280,0,0
228,119869,0,0
229,131105,0,0
230,126850,0,0
231,125507,0,0
